Line Number =1, Method = Example.<init>(), Code Index = 0, 
Line Number =4, Method = Example.main(java.lang.String[]), Code Index = 0, 
Line Number =5, Method = Example.main(java.lang.String[]), Code Index = 2, 
Line Number =6, Method = Example.main(java.lang.String[]), Code Index = 5, 
Line Number =8, Method = Example.main(java.lang.String[]), Code Index = 7, 
Line Number =10, Method = Example.main(java.lang.String[]), Code Index = 19, 
Line Number =12, Method = Example.main(java.lang.String[]), Code Index = 25, 
Line Number =8, Method = Example.main(java.lang.String[]), Code Index = 27, 
Line Number =16, Method = Example.main(java.lang.String[]), Code Index = 33, 
Line Number =17, Method = Example.main(java.lang.String[]), Code Index = 36, 
Line Number =19, Method = Example.main(java.lang.String[]), Code Index = 39, 
Line Number =20, Method = Example.main(java.lang.String[]), Code Index = 47, 
Line Number =21, Method = Example.main(java.lang.String[]), Code Index = 72, 
Line Number =22, Method = Example.main(java.lang.String[]), Code Index = 97, 
Line Number =23, Method = Example.main(java.lang.String[]), Code Index = 122, 
